title~summary~url~img_url
Jak monetizovat data? | Mňamka #477~                          Když přijde řeč na monetizaci dat, většina lidí si patrně představí více či méně pochybné společnosti zabývající se prodejem uživatelských dat. A je skutečně pravda, že prodej či licencování je jeden z nejčastějších způsobů, jak sesbíraná data zpeněžit a získat tak nový zdroj příjmů. Ani zdaleka ale nejde o způsob jediný. Data jsou totiž aktivum jako jakékoliv jiné, a tak z nich můžete čerpat hodnotu v mnoha rozličných byznysových situacích. V dnešní mňamce si proto představíme hned 4 možnosti, jak na to!                        ~https://tdwi.org/articles/2023/07/19/biz-all-how-to-monetize-your-data-assets.aspx~https://www.bizztreat.com/files/responsive/360/0/dollarsign2.jpg
AI a data governance | Mňamka #478~                          Neuplynul ještě ani jeden rok od toho, co byl ChatGPT uveden na trh. Od té doby jsme si mohli přečíst nespočet předpovědí o tom, jak generativní AI velmi brzy změní celkové paradigma našeho fungování. Není to ale jen hudba budoucnosti, některé změny už se odehrávají i nyní. Např. v oblasti data governance může AI pomoci automatizovat celou řadu procesů, vyhledávat relevantní informace v datových katalozích nebo psát a udržovat nezbytnou dokumentaci. Přečtěte si krátkou retrospektivu posledních měsíců!                        ~https://towardsdatascience.com/how-is-ai-disrupting-data-governance-4bd79950905c~https://www.bizztreat.com/files/responsive/360/0/aidatagovernance.jpg
Jak managovat datový projekt? | Mňamka #475~                          Na začátku každého datového projektu by měla být vždy otázka „proč“. Proč zrovna tohle potřebujeme udělat? Proč je to důležité pro náš byznys? Může se to sice zdát jako naprostá samozřejmost, jedině tak si ale můžete být jisti, že všechny ty pokročilé modely, machine learningy a další vychytávky budou sloužit skutečným potřebám byznysu. Datová analytika totiž není to stejné jako IT a softwarový inženýring. Má své vlastní zákonitosti a metodologii, které je dobré se držet. A právě na to se podíváme v dnešní mňamce!                        ~https://www.kdnuggets.com/2023/07/guide-data-science-project-management-methodologies.html~https://www.bizztreat.com/files/responsive/360/0/dsproject.png
Datová dieta pro marketéry | Mňamka #476~                          Sbíráme o zákaznících až příliš mnoho dat? Je už na čase začít s datovou dietou? To pochopitelně nejsou vůbec jednoduché otázky. Zvláště v marketingu se ale v poslední době zdá, že se nám čím dál více rozevírají nůžky mezi množstvím dostupných dat a efektivně využitelnými informacemi, které z nich dokážeme získat. O zákaznících zkrátka sbíráme kde co, aniž bychom měli sebemenší představu, k čemu nám to vlastně bude. Jak z toho ven? Jednou z možností je začít držet datovou dietu, která naše data dostane zase do formy!                        ~https://www.dataversity.net/why-a-data-diet-can-drive-better-results-for-marketers/~https://www.bizztreat.com/files/responsive/360/0/datadiet.jpg
4 koncepty, které by měl znát každý | Mňamka #473~                          Datová gramotnost se stává naprosto nepostradatelnou dovedností moderní doby. Neznamená to samozřejmě, že se z nás všech musí stát hned datoví vědci, určité porozumění základním konceptům je ale nezbytné. Nezasvěcení laici totiž mají o datech často velmi zkreslené představy a někdy pomalu věří až v jejich magické schopnosti. V dnešní mňamce si proto mimo jiné ukážeme, že ani ty nejpokročilejší ML modely nejsou všespásné a že neplatí ani oblíbený truismus, že čísla nikdy nelžou. Tak pojďme na to!                        ~https://towardsdatascience.com/4-important-statistical-ideas-you-should-understand-in-a-data-driven-world-3a9d59ee4a85~https://www.bizztreat.com/files/responsive/360/0/4koncepty.jpg
Velké jazykové modely na vzestupu | Mňamka #474~                          GPT-4, LaMDA, LLaMa, PaLM. To jsou velké jazykové modely (LLM), o kterých jsme už asi všichni slyšeli. Co ale třeba takový Titan, Galactica a Falcon? Nebo čínské Wu Dao, PanGu a Ernie Bot? Pokud už se v záplavě nových LLM začínáte také pomalu ztrácet, tak nevěšte hlavu. Máme tady pro vás interaktivní vizualizaci, ve které se můžete podívat, kdy byly jednotlivé modely uvedeny na trh, porovnat si je z hlediska množství používaných parametrů nebo si vyfiltrovat, které společnosti za nimi stojí. Tak se na to mrkněte!                        ~https://informationisbeautiful.net/visualizations/the-rise-of-generative-ai-large-language-models-llms-like-chatgpt/~https://www.bizztreat.com/files/responsive/360/0/llms.png
Data a AI ve výrobním sektoru | Mňamka #471~                          Firmy z výrobního sektoru většinou nepatří k nejrychlejším organizacím v zavádění nových technologií. A umělá inteligence v tomto rozhodně není výjimkou. Výrobní firmy totiž často pracují se značně specifickými a lokalizovanými daty a jejich zaměstnanci se orientují především v technických záležitostech a procesech výroby. Komplexní dashboardy a analytika tak nejsou zrovna jejich šálkem kávy. To by se ale s nástupem generativní AI a syntetických dat mohlo velmi brzy změnit. Více o tom už v dnešní mňamce!                        ~https://mitsloan.mit.edu/ideas-made-to-matter/ai-manufacturing-start-data~https://www.bizztreat.com/files/responsive/360/0/aimanu.jpg
Jak vizualizovat big data? | Mňamka #472~                          Žijeme v době datové, a to s sebou kromě mnoha benefitů přináší i celou řadu výzev. Jednou z nejvýznamnějších je i otázka toho, jak zvládnout a analyzovat obrovské množství dat, které se na nás každodenně valí. Tzv. big data totiž není vůbec snadné vizualizovat tak, aby z nich bylo možné čerpat cenné informace a podklady pro rozhodování. Dnes si proto posvítíme na několik užitečných vizualizačních technik pro velké data sety. Řeč bude např. o samplingu, hierarchických vizualizacích či filtrování!                        ~https://medium.com/plumbersofdatascience/visualizing-big-data-techniques-for-handling-and-displaying-large-data-sets-84839c493202~https://www.bizztreat.com/files/responsive/360/0/bigdataviz.jpg
Jak se neutopit v datové bažině? | Mňamka #469~                          Cloudová technologie a moderní datové platformy daly firmám možnost pracovat s dosud nevídaným množstvím dat a informací. Populární pay-as-you-go model, který využívají největší poskytovatelé cloudových služeb, navíc přinesl velmi nízké vstupní náklady a snížení náročnosti údržby vlastní IT infrastruktury. Datová analytika se tak stala dostupnější pro mnohem více firem. Řadu z nich ale začíná trápit stejný problém – jejich původně čirá datová jezera se postupně mění v nepřehledné datové bažiny. Podívejte se, jak poznat, zda náhodou nepatříte mezi ně!                        ~https://towardsdatascience.com/5-signs-that-your-data-is-modeled-poorly-a646e8d33be0~https://www.bizztreat.com/files/responsive/360/0/neutopit.jpg
Jaké grafy zvolit pro dashboard? | Mňamka #470~                          Design dashboardů není radno podceňovat! Už v tomto momentě se totiž rozhoduje o tom, zda vaše data budou prezentována nejen vizuálně atraktivním, ale především srozumitelným způsobem pro podporu byznysových rozhodnutí. Jedním ze stěžejních aspektů tvorby dashboardů je přitom samotný výběr vhodných grafů pro vizualizaci rozdílných druhů dat. Řekněme, že si chcete např. porovnat měsíční náklady jednotlivých firemních oddělení a jejich detailní kompozici. Jaký typ grafu k tomu zvolíte? Odpověď se dozvíte v naší dnešní mňamce!                        ~https://bootcamp.uxdesign.cc/top-10-data-visualisation-methods-for-dashboard-design-61317afd92fc~https://www.bizztreat.com/files/responsive/360/0/dashboardgrafy.jpg
